"","candidate","votes","fraction_votes","PST045214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214"
"235","Hillary Clinton",1170,0.856,17190,51.8,70.4,27.3,0.3,0.7,0,1.2,2.6,68.4
"241","Hillary Clinton",3044,0.783,104193,52.1,70,26.7,0.5,0.9,0.1,1.8,3.3,67.3
"242","Donald Trump",8171,0.404,104193,52.1,70,26.7,0.5,0.9,0.1,1.8,3.3,67.3
"247","Donald Trump",5463,0.499,52665,50.7,91.5,3.6,1.6,0.5,0.1,2.6,2.9,89.4
"250","Hillary Clinton",1327,0.7,52665,50.7,91.5,3.6,1.6,0.5,0.1,2.6,2.9,89.4
"254","Donald Trump",32853,0.35,660793,52.8,54,42.9,0.3,1.6,0.1,1.1,3.8,50.8
"255","Hillary Clinton",67357,0.816,660793,52.8,54,42.9,0.3,1.6,0.1,1.1,3.8,50.8
"261","Hillary Clinton",442,0.616,14086,51.2,87.1,11.3,0.2,0.1,0,1.4,1.4,85.8
"265","Donald Trump",1810,0.504,14086,51.2,87.1,11.3,0.2,0.1,0,1.4,1.4,85.8
"267","Donald Trump",7502,0.421,93096,52.1,86.7,10.4,0.5,0.9,0.1,1.5,2.4,84.7
"270","Hillary Clinton",3676,0.652,93096,52.1,86.7,10.4,0.5,0.9,0.1,1.5,2.4,84.7
"277","Donald Trump",3604,0.528,33477,51.3,78.1,11.4,5.8,0.2,0,4.4,2.2,76.4
"279","Hillary Clinton",2047,0.777,33477,51.3,78.1,11.4,5.8,0.2,0,4.4,2.2,76.4
"284","Hillary Clinton",7137,0.736,154255,50.7,70.9,23.7,0.4,3.3,0.1,1.5,3.9,67.7
"285","Donald Trump",6934,0.33,154255,50.7,70.9,23.7,0.4,3.3,0.1,1.5,3.9,67.7
"292","Donald Trump",8198,0.43,90787,49.7,82,13.5,0.8,1.4,0.2,2.1,5.8,77.2
"294","Hillary Clinton",3199,0.728,90787,49.7,82,13.5,0.8,1.4,0.2,2.1,5.8,77.2
"298","Hillary Clinton",3782,0.887,10580,52.3,25.8,72.9,0.3,0.2,0,0.8,1.2,25.3
"301","Donald Trump",500,0.595,10580,52.3,25.8,72.9,0.3,0.2,0,0.8,1.2,25.3
"303","Hillary Clinton",4293,0.892,19425,54.2,16.7,81.5,0.2,0.3,0,1.4,1.5,16.2
"307","Donald Trump",356,0.48,19425,54.2,16.7,81.5,0.2,0.3,0,1.4,1.5,16.2
"309","Donald Trump",23791,0.362,350299,51.2,69.4,24.6,0.8,2.6,0.1,2.5,4.7,65.5
"310","Hillary Clinton",19995,0.686,350299,51.2,69.4,24.6,0.8,2.6,0.1,2.5,4.7,65.5
"321","Donald Trump",580,0.539,20110,53.2,47.4,51,0.3,0.3,0.2,0.8,2.4,45.6
"322","Hillary Clinton",3590,0.658,20110,53.2,47.4,51,0.3,0.3,0.2,0.8,2.4,45.6
"327","Donald Trump",3503,0.529,30271,50.4,93.9,4.2,0.3,0.3,0.1,1.2,2.5,91.7
"328","Hillary Clinton",567,0.655,30271,50.4,93.9,4.2,0.3,0.3,0.1,1.2,2.5,91.7
"331","Hillary Clinton",1494,0.621,94636,50.9,93.7,2.7,1.1,0.7,0.3,1.6,12.9,82.3
"336","Donald Trump",9115,0.495,94636,50.9,93.7,2.7,1.1,0.7,0.3,1.6,12.9,82.3
"338","Hillary Clinton",28927,0.827,415123,52.2,60.1,35.3,1,2,0.1,1.5,2.8,57.8
"343","Donald Trump",28326,0.452,415123,52.2,60.1,35.3,1,2,0.1,1.5,2.8,57.8
"346","Donald Trump",1966,0.521,21947,52.6,55.5,41.1,1.3,0.4,0,1.6,1.2,54.7
"347","Hillary Clinton",2438,0.909,21947,52.6,55.5,41.1,1.3,0.4,0,1.6,1.2,54.7
"351","Hillary Clinton",28650,0.862,226189,52.6,38.9,56.7,0.3,2.6,0.1,1.3,3.4,36.3
"353","Donald Trump",10517,0.394,226189,52.6,38.9,56.7,0.3,2.6,0.1,1.3,3.4,36.3
"358","Hillary Clinton",3897,0.731,119607,50.8,83.5,12.5,1.1,0.7,0.1,2,7.9,76.6
"361","Donald Trump",10909,0.446,119607,50.8,83.5,12.5,1.1,0.7,0.1,2,7.9,76.6
"366","Donald Trump",192,0.515,9826,53.4,31.1,67.5,0.2,0.4,0.1,0.7,1.3,30.3
"370","Hillary Clinton",2575,0.82,9826,53.4,31.1,67.5,0.2,0.4,0.1,0.7,1.3,30.3
"372","Hillary Clinton",2326,0.762,20365,50.6,58.1,40.2,0.2,0.3,0.4,0.9,4.1,54.7
"374","Donald Trump",1124,0.441,20365,50.6,58.1,40.2,0.2,0.3,0.4,0.9,4.1,54.7
"383","Hillary Clinton",2183,0.837,33389,51.9,58.5,36.9,0.7,2.2,0.1,1.6,2.2,57.1
"385","Donald Trump",2493,0.46,33389,51.9,58.5,36.9,0.7,2.2,0.1,1.6,2.2,57.1
"386","Donald Trump",2352,0.516,22539,51.4,77.6,20.2,0.5,0.3,0.1,1.4,2.9,75
"389","Hillary Clinton",1236,0.706,22539,51.4,77.6,20.2,0.5,0.3,0.1,1.4,2.9,75
"398","Donald Trump",1784,0.474,59608,51.3,53.1,42.9,0.6,0.8,0.2,2.4,5,49.5
"399","Hillary Clinton",4381,0.728,59608,51.3,53.1,42.9,0.6,0.8,0.2,2.4,5,49.5
"400","Hillary Clinton",1808,0.693,86697,50.1,87.9,9.5,0.4,0.8,0.1,1.3,2.3,85.9
"402","Donald Trump",8596,0.446,86697,50.1,87.9,9.5,0.4,0.8,0.1,1.3,2.3,85.9
"411","Hillary Clinton",6657,0.628,206655,51.2,84,12.1,0.4,2.2,0,1.3,6,78.5
"413","Donald Trump",18260,0.344,206655,51.2,84,12.1,0.4,2.2,0,1.3,6,78.5
"418","Donald Trump",166,0.591,13166,55,25.5,73.5,0.1,0.4,0,0.5,1.1,24.8
"420","Hillary Clinton",2987,0.809,13166,55,25.5,73.5,0.1,0.4,0,0.5,1.1,24.8
"422","Hillary Clinton",5561,0.865,81322,51.4,65.2,32.5,0.4,0.4,0,1.5,2.3,63.4
"426","Donald Trump",6304,0.51,81322,51.4,65.2,32.5,0.4,0.4,0,1.5,2.3,63.4
"428","Hillary Clinton",2658,0.88,41165,51.4,70.6,27.3,0.4,0.5,0,1.2,2.3,68.9
"433","Donald Trump",4658,0.528,41165,51.4,70.6,27.3,0.4,0.5,0,1.2,2.3,68.9
"437","Donald Trump",11652,0.375,202212,51.7,66,31,0.3,1.5,0.1,1.1,3.3,63.2
"440","Hillary Clinton",12136,0.767,202212,51.7,66,31,0.3,1.5,0.1,1.1,3.3,63.2
"442","Hillary Clinton",1772,0.671,65471,51.4,91.3,6.4,0.5,0.4,0.1,1.3,2.3,89.4
"445","Donald Trump",8394,0.551,65471,51.4,91.3,6.4,0.5,0.4,0.1,1.3,2.3,89.4
"449","Donald Trump",1269,0.537,16834,51.2,66,24.6,7.9,0.1,0.1,1.3,1.4,65.1
"454","Hillary Clinton",1511,0.575,16834,51.2,66,24.6,7.9,0.1,0.1,1.3,1.4,65.1
"461","Donald Trump",287,0.544,11098,52.4,28.1,71,0.2,0.1,0,0.6,1,27.6
"462","Hillary Clinton",3337,0.843,11098,52.4,28.1,71,0.2,0.1,0,0.6,1,27.6
"465","Hillary Clinton",303,0.667,24150,50.9,96.3,1,0.9,0.3,0.2,1.4,2.9,94
"466","Donald Trump",3352,0.561,24150,50.9,96.3,1,0.9,0.3,0.2,1.4,2.9,94
"470","Donald Trump",1088,0.436,71828,50.6,23.4,0.9,73.5,0.4,0.1,1.8,6.4,19
"471","Hillary Clinton",4450,0.664,71828,50.6,23.4,0.9,73.5,0.4,0.1,1.8,6.4,19
"476","Hillary Clinton",4654,0.565,127448,49.2,87.9,4.7,1.7,2.2,0.4,3.1,34.6,56.1
"478","Donald Trump",6339,0.498,127448,49.2,87.9,4.7,1.7,2.2,0.4,3.1,34.6,56.1
"480","Hillary Clinton",5738,0.441,137682,50.6,66.4,1.6,27.3,1.8,0.2,2.8,13.9,54.9
"484","Donald Trump",3324,0.392,137682,50.6,66.4,1.6,27.3,1.8,0.2,2.8,13.9,54.9
"487","Hillary Clinton",2196,0.592,53119,50.4,80.2,0.9,16.5,0.8,0.1,1.6,18.8,63.2
"488","Donald Trump",3065,0.539,53119,50.4,80.2,0.9,16.5,0.8,0.1,1.6,18.8,63.2
"490","Donald Trump",1501,0.391,37957,46.5,81.1,2.1,14,0.7,0.2,1.8,32.1,51.4
"491","Hillary Clinton",937,0.491,37957,46.5,81.1,2.1,14,0.7,0.2,1.8,32.1,51.4
"497","Donald Trump",282,0.448,9346,47.7,91.5,1.8,3.3,0.8,0.2,2.3,46.6,47.8
"499","Hillary Clinton",497,0.546,9346,47.7,91.5,1.8,3.3,0.8,0.2,2.3,46.6,47.8
"500","Hillary Clinton",309,0.517,20231,48.9,77.1,1.2,17.8,0.9,0.1,2.9,25.7,59.3
"504","Donald Trump",940,0.674,20231,48.9,77.1,1.2,17.8,0.9,0.1,2.9,25.7,59.3
"505","Hillary Clinton",126988,0.581,4087191,50.6,84.4,5.7,2.8,4.1,0.3,2.8,30.3,57
"509","Donald Trump",144522,0.462,4087191,50.6,84.4,5.7,2.8,4.1,0.3,2.8,30.3,57
"512","Donald Trump",14154,0.648,203361,49.7,92,1.3,2.9,1.2,0.2,2.3,15.8,78
"513","Hillary Clinton",4170,0.564,203361,49.7,92,1.3,2.9,1.2,0.2,2.3,15.8,78
"516","Donald Trump",3558,0.414,108101,49.8,51,1.3,44.9,0.7,0.1,2,11.1,42.2
